_id,jobid,position,location,company,remote,status,description,joburl,category,subcategory,tags
1,cd1eaa85-3a21-4bf3-8f33-07f3a7181ef7,3D Artist ,Bangalore,na,False,True,na,https://jobs.lever.co/rw1/cd1eaa85-3a21-4bf3-8f33-07f3a7181ef7,Art,Art,tags
2,2e4d7fda-6576-4f51-8a60-224b6683dd58,Art Manager ,Freiburg,na,False,True,na,https://jobs.lever.co/rw1/2e4d7fda-6576-4f51-8a60-224b6683dd58,Manager,Art,tags
3,a16c6567-f1df-464d-b7f5-a8c0bc1a3b49,Art Manager ,Berlin,na,False,True,na,https://jobs.lever.co/rw1/a16c6567-f1df-464d-b7f5-a8c0bc1a3b49,Manager,Art,tags
4,a45bb4e5-9bd1-4810-88c6-2e144e1b7ca3,Concept Artist ,Freiburg,na,False,True,na,https://jobs.lever.co/rw1/a45bb4e5-9bd1-4810-88c6-2e144e1b7ca3,Art,Art,tags
5,1dd60179-fc58-4a9d-b3e1-236fce938c1f,Concept Artist ,Berlin,na,False,True,na,https://jobs.lever.co/rw1/1dd60179-fc58-4a9d-b3e1-236fce938c1f,Art,Art,tags
6,30be24f9-a2b7-4037-8ada-65d08bd832a3,Senior 3D Artist ,Bangalore,na,False,True,na,https://jobs.lever.co/rw1/30be24f9-a2b7-4037-8ada-65d08bd832a3,Art,Art,tags
7,3a8d110e-aaf1-4048-adc1-1e07d74df82a,Senior Environment Artist - Unreal Engine ,Freiburg,na,False,True,na,https://jobs.lever.co/rw1/3a8d110e-aaf1-4048-adc1-1e07d74df82a,Art,Unreal Engine,tags
8,69ca5658-e845-466f-8406-57353f03b2fc,Senior Environment Artist - Unreal Engine ,Berlin,na,False,True,na,https://jobs.lever.co/rw1/69ca5658-e845-466f-8406-57353f03b2fc,Art,Unreal Engine,tags
9,fbe74181-93f3-47fb-8b04-cfcefc617415,Senior Environment Artist - Unreal Engine ,Bangalore,na,False,True,na,https://jobs.lever.co/rw1/fbe74181-93f3-47fb-8b04-cfcefc617415,Art,Unreal Engine,tags
10,126f172d-bf5f-4c01-ac84-8dfc7c08770c,Account Executive ,Remote,na,True,True,na,https://jobs.lever.co/rw1/126f172d-bf5f-4c01-ac84-8dfc7c08770c,Business,Business Development,tags
11,bcbb3b64-e700-4c74-90d8-14e4df926735,Account Executive ,Berlin,na,False,True,na,https://jobs.lever.co/rw1/bcbb3b64-e700-4c74-90d8-14e4df926735,Business,Business Development,tags
12,b6846e95-0858-40de-af32-3d9763a5620d,Account Executive ,Freiburg,na,False,True,na,https://jobs.lever.co/rw1/b6846e95-0858-40de-af32-3d9763a5620d,Business,Business Development,tags
13,ee19a926-bcb9-4674-8c22-794e126dd2b2,Business Development Associate ,Freiburg,na,False,True,na,https://jobs.lever.co/rw1/ee19a926-bcb9-4674-8c22-794e126dd2b2,Business,Business Development,tags
14,6a02321f-9cfb-4575-8fbf-ca527fe309cd,Business Development Associate ,Freiburg,na,False,True,na,https://jobs.lever.co/rw1/6a02321f-9cfb-4575-8fbf-ca527fe309cd,Business,Business Development,tags
15,b9f3f93d-2e28-4796-a7c0-b39c7d0f1f1c,Business Development Associate ,Berlin,na,False,True,na,https://jobs.lever.co/rw1/b9f3f93d-2e28-4796-a7c0-b39c7d0f1f1c,Business,Business Development,tags
16,796cc014-a9b3-40fc-b312-7f58340dbe8e,Business Development Associate ,Berlin,na,False,True,na,https://jobs.lever.co/rw1/796cc014-a9b3-40fc-b312-7f58340dbe8e,Business,Business Development,tags
17,8d8f7a86-ac84-44d5-9746-483bd8baefeb,Sales Intelligence Associate ,Freiburg,na,False,True,na,https://jobs.lever.co/rw1/8d8f7a86-ac84-44d5-9746-483bd8baefeb,Business,Business Development,tags
18,7faa2a58-63b5-4826-882c-91295d8c21ab,Sales Intelligence Associate ,Berlin,na,False,True,na,https://jobs.lever.co/rw1/7faa2a58-63b5-4826-882c-91295d8c21ab,Business,Business Development,tags
19,f9d0bc18-4966-45f8-950b-bbe1da77b11d,Commercial Strategy Intern ,Freiburg,na,False,True,na,https://jobs.lever.co/rw1/f9d0bc18-4966-45f8-950b-bbe1da77b11d,Commercial,Operations,tags
20,672c91dd-2ac2-472b-85d5-3bf9ff55a10f,Commercial Strategy Intern ,Berlin,na,False,True,na,https://jobs.lever.co/rw1/672c91dd-2ac2-472b-85d5-3bf9ff55a10f,Commercial,Operations,tags
21,a224c3bf-61bb-46bc-b035-dd042aa7aa34,Key Account Manager ,Freiburg,na,False,True,na,https://jobs.lever.co/rw1/a224c3bf-61bb-46bc-b035-dd042aa7aa34,Manager,Operations,tags
